Рыба,Локация,Наживка,Расстояние,Цена,Мин. вес (кг),Макс. вес (кг),Автор,Дата,Примечание
Трафальгар,Луна,Воблер Predator Pro с 7.0 - 8.0 м по верху,,1005 монет / 311 опыта,51.953,52,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,
Панзерус,Луна,Воблер Predator Pro с 15.0 м до ≈ 8.0 м по верху,,1056 монет / 336 опыта,75.536,80,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,
Карин,Луна,Воблер Predator Pro с 15.0 м до ≈ 8.0 м по середине,,1089 монет / 347 опыта,110.658,112,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Возможный/неизбежный прилов: Газилиус
Газилиус,Луна,Воблер Predator Pro с 15.0 м до ≈ 8.0 м по середине,,1377 монет / 478 опыта,194.857,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Возможный/неизбежный прилов: Карин
Виена,Луна,Воблер Alpha Diver и выше + Кровь с 10.0 / 15.0 м по верху / по середине,,13701 монет / 585 опыта,198,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Возможный/неизбежный прилов: Все
Скрумпер,Луна,Воблер Alpha Diver и выше + Кровь с 15.0 м до ≈ 8.0 м по верху / по середине,,13425 монет / 553 опыта,198.811,200,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,"Возможный/неизбежный прилов: Все, кроме Трафальгар"
Зой,Луна,Воблер Alpha Diver и выше + Кровь с 11.0 м по верху / по середине,,12144 монет / 515 опыта,126.261,130,"Михаил Куликов (таблица ""Рыбы по алфавиту"")",15.12.2022,Возможный/неизбежный прилов: Все
Лезвие (совет по времени),Река Амазонка,,,,14.584,15,Алексей Сергеев,30.12.2022,Лучше ловить утром
Раптор (совет по времени),Река Амазонка,,,,11.683,12,Алексей Сергеев,30.12.2022,Лучше ловить вечером
Пайяра (уточнение дистанции),Река Амазонка,,8.9 м,,17.895,18.2,Алексей Сергеев,31.12.2022,На 7.1м (как в некоторых таблицах) в основном идёт прилов — Павлиний Басс
Рыба Капля (прилов к угрю),Озеро Вабакими,Сыр,,,15.305,47,Алексей Сергеев,24.12.2022,При целевой ловле угря на сыр — примерно 2 из 100 поклёвок оказываются рыбой-каплей
Песчаный Убийца (доп. подтверждение),Райский остров,,,,24.249,25,Romanne Abramovich,24.01.2023,
Тень Зоны (доп. данные по фарму),,,,,198.288,200,Роман Калачев,27.01.2023,"Задание поймать 11 шт.: итог — 21 Поглотитель, 17 Рыба Мертвец в качестве прилова; потрачено 9 крови, 9 энергетиков и прикормки, 45 золота"
Мегалодон (пойманный экземпляр),Остров Робинзон,Креветка,3 м,,197.539,200,Роман Калачев,28.01.2023,Крючок 4; трофей
Акула Гоблин (пойманный экземпляр),Остров Робинзон,Креветка,,,198.198,200,Роман Калачев,28.01.2023,Трофей; ловля с энергетиком и кровью
Анаконда (пойманный экземпляр),Река Кафуэ,Червь,,,197.674,200,Роман Калачев,29.01.2023,Трофей; ловля с энергетиком и кровью
Пикша (доп. вариант),Долина Ветров,Маленький живец,7.1-7.2 м,,12.531,12.7,Роман Калачев,30.01.2023,"Крючок 6; альтернативная локация — Ледник, но по мнению автора того не стоит; зачётный прилов — Стерлядь и Серебристая Сайда"
Черепаха Логгерхед (доп. вариант наживки),Остров Робинзон,Мидия,3 м,,195.746,200,Роман Калачев,04.02.2023,Крючок 6.3; трофей; альтернатива каменцу Куликова (там наживка Кальмар)
Чёрный Кайман (пойманный экземпляр),Река Амазонка,Лягушка,7.1 м,,194.966,194.966,Роман Калачев,04.02.2023,Крючок 6.3; трофей
Сом (доп. вариант),Изумрудное озеро 2,Воблер,15 м,,193.594,200,Фёдор Газизов,09.02.2023,Ближе к коряге; к посту приложено видео
Мегалодон (доп. вариант наживки),Остров Робинзон,Рак,,,197.539,200,Александр Иванов,08.02.2023,Альтернатива креветке
Горбыль Серебристый (доп. вариант),,Опарыш,3 м,,56.319,57,Вячеслав Келсеу,17.02.2023,Локация в комментарии не указана
Рыба Капля (без крови),Озеро Вабакими,Медведка / Сыр,3 м,,15.305,47,Лёня Скат,23.02.2023,Крючок 1.1; клюёт и без добавления крови
Каменный призрак (доп. наживка),,Кукуруза,,,61.86,67,Настя Михайлова,27.02.2023,Позволяет поймать более тяжёлый экземпляр
Амия (доп. наживка),Река Клаус,Кусок рыбы,,,9.433,9.8,Serg Mach,10.03.2023,"Тот же крючок, что и для основного варианта (личинка майского жука); альтернатива хорошо работает"
Селена (заметка о сложности),Райский остров,Креветка,,,2.18,2.2,Serg Mach,10.03.2023,"Очень высокий прилов — автор потратил 200 креветок, поймав немного экземпляров; по мнению автора не стоит усилий ради небольшой награды (5 золота)"
Рыба Капля (доп. наживка),,Хлеб,3 м,,15.305,47,Андрей Иванов,26.03.2023,Неплохо клюёт
Жнец (пойманный экземпляр),Мрачная Река,Живец (маленький) + Кровь,3 м,,197.4,200,Сергей Ерохин,30.04.2023,Много прилова химерой при выполнении задания на 10 шт
